Language,Glot500,SeamlessM4T,NLLB,Qwen,LLAMA,GPT-2,r50k_base,p50k_base,p50k_edit,cl100k_base,RoBERTa,GottBERT,CamemBERT,PhoBERT,RoCBert,XLM-RoBERTa,M2M100,MBart50,mT5,FlanT5,ByT5,CANINE,BLOOM,ArabicBERT,MuRIL,UTF-32,BERT Japanese
Hebrew,66783,73592,73591,79246,199677,231019,231019,231019,231019,193616,231019,356374,74001,165362,43248,67112,77338,67113,80177,73998,359555,201565,155280,165810,41632,201565,41219
Hindi,73336,72684,72683,240076,278602,392092,392092,392092,392092,253270,392092,658313,104653,206714,57485,74861,86379,74862,104604,104672,661374,258472,68276,61966,62712,258472,55596
Chhattisgarhi,77658,75049,75048,228722,269238,378849,378849,378849,378849,247937,378849,635526,101998,198867,57685,84368,95768,84369,105029,102245,638720,250204,76711,60177,72073,250204,53987
Croatian,62317,69474,69473,98471,101148,113059,113059,113058,113058,97676,113059,114870,114787,110874,216201,65682,72894,65683,85612,140906,262354,255014,95947,131330,94765,255014,131810
Hungarian,69150,75754,75753,113792,108536,139602,139602,139600,139600,113411,139602,141611,142790,131104,235951,70308,81277,70309,82939,172889,299608,272675,109899,135056,124421,272675,148102
Armenian,77271,89637,89636,286856,309737,526451,526451,526451,526451,527113,526451,526464,81045,248181,46996,82580,94934,82581,103808,81050,529415,287555,229282,45900,45630,287555,44419
Igbo,79286,78574,78571,127099,140452,179977,179977,179977,179977,129168,179977,183972,141791,123799,214673,126634,93374,126635,117780,183723,312799,263254,91237,144576,92627,263254,117234
Ilocano,78424,79470,79469,109003,121575,118613,118613,118613,118613,108129,118613,125270,129022,117649,262670,96095,84539,96096,105633,163179,314085,313360,101123,149848,108277,313360,160015
Indonesian,54305,55598,55597,82906,106808,104006,104006,103989,103989,82006,104006,108315,112174,104373,241697,56004,61915,56005,70942,129783,281022,280788,51241,130092,93990,280788,137026
Icelandic,71332,76951,76950,113252,119854,127643,127643,127643,127643,113423,127643,135970,135673,125216,164395,73561,81848,73562,86678,162574,282751,255925,105890,129624,88083,255925,104434
Italian,68959,74636,74635,87251,88747,105594,105594,105594,105594,86628,105594,112844,109149,111317,257935,70965,79123,70966,88132,125884,307457,305238,86218,136373,103826,305238,141489
Javanese,63655,61271,61270,92220,104080,101610,101610,101610,101610,91337,101610,107079,111582,100716,230239,68844,69843,68845,79381,128021,269810,269310,74537,131089,94006,269310,132911
Japanese,66220,60051,60050,78212,135526,157858,157858,157858,157858,121627,157858,254548,7823,109819,111466,66414,76356,66415,59289,7788,329167,113611,96085,97622,62538,113611,69209
Kabyle,94184,93081,93080,114714,121194,131364,131364,131364,131364,130359,131364,137564,127175,119182,195433,109639,108225,109640,119434,163686,274466,256723,107463,124098,91910,256723,128276
Jingpho,88983,87370,87369,124821,137789,139457,139457,139456,139456,124278,139457,149129,142637,128420,259923,115947,112627,115948,117829,197335,330717,330686,113746,164614,125372,330686,171095
Kamba,76327,75965,75964,106668,115787,121739,121739,121739,121739,114796,121739,127481,118543,108374,211466,96785,96361,96786,100228,155742,263257,253015,93920,128103,85132,253015,119634
Kannada,79842,81522,81564,374901,656789,719397,719397,719274,719274,470190,719397,731252,69244,237693,38301,81107,96883,81108,94741,69237,735146,272113,69560,37225,57383,272113,39045
Kashmiri (Arabic script),107941,108027,108026,187047,268396,325291,325291,325145,325145,244307,325291,444451,90825,200969,61554,115090,122425,115091,131446,90829,447300,248311,123488,121604,94413,248311,47025
Kashmiri (Devanagari script),103180,100590,100589,237114,269390,369802,369802,369778,369778,247927,369802,612620,99203,194507,61900,108675,117719,108676,117866,99416,621887,249147,98492,62201,94654,249147,55490
Georgian,78370,95625,95624,282327,294939,727866,727866,727866,727866,520316,727866,727448,74007,247918,43649,80173,99022,80174,101748,73969,764251,283885,264919,41942,41598,283885,41772
Kazakh,65503,70095,70094,162320,152125,311213,311213,311212,311212,200493,311213,308595,131792,222082,125483,68428,81093,68429,79112,199145,489005,266102,171823,151041,78017,266102,40514
Kabiyè,95806,92714,92713,179808,210982,256080,256080,256066,256066,250629,256080,258642,173564,176184,115963,177790,171937,177791,185803,212995,356120,282100,177842,79365,69936,282100,181488
Kabuverdianu,72892,76177,76176,91475,95849,101684,101684,101684,101684,91103,101684,104228,104206,100905,212659,80636,82272,80637,84027,127940,263624,257338,80174,120718,97797,257338,133103
Halh Mongolian,69076,80713,80712,166290,167166,337351,337351,337351,337351,199035,337351,334336,147114,227151,162538,72046,84635,72047,97042,213998,495824,270527,179887,193950,101965,270527,43784
Khmer,92109,107050,107049,354983,621959,805983,805983,805983,805983,469026,805983,806501,59829,285730,26501,96638,118485,96639,94217,59993,864382,305984,340448,20091,17816,305984,96761
Kikuyu,90016,90236,90235,142758,152517,181066,181066,180960,180960,173742,181066,186000,154133,138417,255442,138024,137581,138025,143352,196687,336536,302637,131787,150928,73081,302637,96233
Kinyarwanda,76713,77317,77316,113722,123944,124507,124507,124507,124507,113070,124507,127053,127430,122870,248670,102456,103304,102457,99277,159781,294412,288228,84146,148708,115812,288228,155270
Kyrgyz,65830,74231,74230,147432,148045,301606,301606,301606,301606,185559,301606,299457,138165,222699,192583,69278,105463,69279,86514,203777,487931,265506,160837,199078,134335,265506,41054
Kimbundu,78140,80405,80404,113022,122654,122622,122622,122622,122622,112524,122622,129691,126512,119666,241994,98046,97621,98047,97043,168245,288236,286800,96494,149610,107216,286800,156856
Northern Kurdish,78199,85949,85948,116203,124426,128950,128950,128950,128950,116457,128950,130825,132522,117175,213428,82489,105243,82490,93428,158576,285648,257926,108099,124890,82847,257926,84067
Central Kanuri (Arabic script),102589,151442,151441,169341,231383,249173,249173,249173,249173,191917,249173,410142,73595,189321,80361,155367,157984,155368,160018,73550,414556,228438,111740,67235,127913,228438,40507
Central Kanuri (Latin script),95166,92175,92174,115886,130159,135330,135330,135330,135330,125283,135330,140581,128497,120540,185972,103625,104673,103626,104001,163460,287925,273117,106465,118250,88169,273117,128294
Kikongo,73009,72256,72255,106204,117076,114227,114227,114227,114227,105361,114227,127161,115771,114676,241355,94290,93629,94291,95889,174143,295155,294834,92840,153421,106477,294834,158706
Korean,68715,61350,61349,88130,192635,266663,266663,266660,266660,125737,266663,304725,66637,97696,214170,69124,76644,69125,83718,66645,310727,130986,148546,125267,36801,130986,37961
Lao,80401,87762,87761,311235,695564,693551,693551,693550,693550,508348,693551,694035,29037,235138,29653,82850,101726,82851,83315,28978,707645,257362,462849,22010,19116,257362,105290
Ligurian,90160,95297,95296,104945,111343,120391,120391,120391,120391,104558,120391,123687,119908,119632,235685,98515,100538,98516,111123,147062,302581,286080,96349,133177,110857,286080,130522
Limburgish,76660,85471,85470,95863,99690,107733,107733,107733,107733,95157,107733,105731,111137,110596,225590,86570,87324,86571,90468,130066,278124,269296,93152,127464,103761,269296,131832
Lingala,68587,66749,66748,99398,108482,106455,106455,106455,106455,98517,106455,116034,109537,105400,232882,90766,79977,90767,90700,158212,279939,279583,87885,141933,102285,279583,145278
Lithuanian,68530,70490,70489,110696,114864,128701,128701,128701,128701,116635,128701,128824,122546,118645,223996,70001,78909,70002,80627,149057,275925,258253,103350,128643,79995,258253,104388
Lombard,91281,95621,95620,107617,112400,124681,124681,124681,124681,107743,124681,124609,121716,118002,224668,101898,99104,101899,111495,149212,300684,278244,97705,124335,105633,278244,128877
Latgalian,86905,84631,84630,115203,120666,125800,125800,125799,125799,116433,125800,131764,130139,123432,220726,93413,95927,93414,96113,156294,271741,256016,105855,131014,106224,256016,133466
Luxembourgish,80869,85912,85911,105520,109377,118140,118140,118140,118140,104985,118140,102428,121814,119575,247827,97961,83888,97962,96291,129506,298710,290166,100571,135153,116866,290166,135901
Luba-Kasai,71607,72238,72237,103380,114652,111796,111796,111796,111796,102583,111796,118429,115197,109428,234942,92166,90561,92167,90089,143377,280012,279832,89426,139093,102067,279832,145909
Ganda,72733,74952,74951,104359,115217,114169,114169,114169,114169,103642,114169,117146,118218,113889,230752,92353,87471,92354,92028,153108,268270,265137,89042,140788,104487,265137,145269
Luo,75940,73937,73936,97182,106621,107393,107393,107393,107393,96393,107393,110396,111461,105676,223587,90538,90396,90539,92902,147703,271845,271168,89122,130663,100968,271168,139626
Mizo,76609,77741,77740,104440,112481,109968,109968,109936,109936,103801,109968,120526,121894,107582,229391,98499,97666,98500,103490,159888,285572,284965,97367,137722,103538,284965,141753
Standard Latvian,70896,71326,71325,122960,127212,133664,133664,133664,133664,124411,133664,138821,134492,130020,228113,73546,81921,73547,85736,160833,289046,264388,110674,130600,101888,264388,141844
Magahi,79089,73094,73093,227136,271893,379598,379598,379597,379597,248523,379598,636697,100620,198869,55884,84403,95355,84404,106136,100654,639032,249109,76977,58308,72201,249109,52703
Maithili,76145,73921,73920,237601,280668,390772,390772,390772,390772,258768,390772,652899,98814,204666,55282,94310,104117,94311,114345,98807,655569,254221,82790,57092,80828,254221,51906
Malayalam,81096,88800,88824,392656,335887,801380,801380,801332,801332,475535,801380,801618,64905,262479,36916,82039,100506,82040,88992,64895,805120,293448,73183,35837,63546,293448,36910
Marathi,70860,75156,75155,249813,277345,413498,413498,413459,413459,267905,413498,691253,78893,222435,43827,72668,87538,72669,100064,78903,693619,261180,64398,44964,57010,261180,42706
Minangkabau (Arabic script),111651,117140,117139,149821,262077,275937,275937,275937,275937,209767,275937,450840,83898,207581,87249,120767,125921,120768,120685,83944,451565,247588,136964,108557,84650,247588,46179
Minangkabau (Latin script),68131,68285,68284,94203,107146,103515,103515,103515,103515,93314,103515,110793,111845,104242,236464,78163,79094,78164,82037,135960,276661,276447,76545,130784,95339,276447,136909
Macedonian,68121,73647,73646,121531,111365,287256,287256,287255,287255,146208,287256,274701,170656,215520,198011,69908,78646,69909,84820,193977,490881,270378,132974,196687,148149,270378,48590
Maltese,85623,86703,86702,120169,131055,141664,141664,141664,141664,127435,141664,141958,137935,131061,223294,116915,118299,116916,111373,169882,301178,286521,119539,138499,100804,286521,132837
Meitei (Bengali script),137160,103199,103198,302782,354326,537035,537035,537031,537031,354727,537035,714848,78284,228906,44749,152589,163965,152590,144945,78263,717455,267963,125103,44044,126265,267963,41968
Mossi,83093,81157,81156,110704,128340,133299,133299,133299,133299,122348,133299,137491,121347,115535,183555,106415,105404,106416,118443,167997,267823,247517,105627,115195,90459,247517,117912
Maori,81545,82410,82409,125138,132406,128730,128730,128730,128730,124332,128730,139528,135219,122779,227957,111143,110110,111144,111337,190121,301068,287051,112586,143900,114516,287051,149583
Burmese,100557,94538,94542,482970,507396,887930,887930,887927,887927,618268,887930,888482,42762,297952,29883,102718,139944,102719,102566,42757,911313,320882,534510,28291,27729,320882,35510
Dutch,66444,70810,70809,84979,88654,103566,103566,103566,103566,84254,103566,101070,112431,110240,243532,68075,74602,68076,76684,126814,289068,288665,90731,133150,103224,288665,137350
Norwegian Nynorsk,64799,68859,68858,87430,93571,101503,101503,101503,101503,86536,101503,99045,112500,107965,220190,70057,74146,70058,77387,132296,269067,263026,87533,123432,98322,263026,126356
Norwegian Bokmål,62251,65442,65441,83434,90717,97720,97720,97720,97720,82508,97720,96684,109934,105860,218898,63780,69761,63781,73405,129726,266748,261039,85981,121070,96432,261039,122233
Nepali,65633,70173,70172,239309,272097,398853,398853,398853,398853,252889,398853,660650,75281,210954,43888,67463,81179,67464,96395,75275,664662,249703,62148,44014,54422,249703,40157
Northern Sotho,82063,80474,80473,116332,122198,121975,121975,121975,121975,115442,121975,128420,126908,123249,241631,104521,96361,104522,103446,162466,304765,297511,103338,142768,117845,297511,153466
Nuer,112006,112791,112790,182180,171464,222487,222487,222294,222294,211318,222487,219996,165630,163406,157472,156169,154335,156170,159275,203900,343204,280059,148266,94096,80096,280059,172631
Nyanja,69221,68621,68620,110938,122164,118972,118972,118972,118972,110115,118972,124300,124303,118341,252030,94859,98042,94860,88840,157062,291363,290698,94469,146982,108899,290698,149128
Occitan,79944,83305,83304,97221,100818,108564,108564,108564,108564,96606,108564,116408,112576,115322,247081,89419,83283,89420,97576,130600,304250,294944,79296,127922,103994,294944,137862
Odia,79104,82063,82063,525954,702774,703585,703585,703579,703579,659440,703585,705821,80061,225800,45297,86376,99019,86377,204745,80082,709275,265861,72384,44249,65490,265861,43026
Pangasinan,65168,66370,66369,83608,91105,87191,87191,87191,87191,82719,87191,99993,99902,92749,216247,76766,77833,76767,80227,126028,258211,258142,76906,120015,83257,258142,124607
Eastern Panjabi,92657,89241,89240,392150,572404,415296,415296,415296,415296,415623,415296,668463,104343,209780,58822,93737,106290,93738,138377,104351,672235,261839,76290,57539,72700,261839,55302
Papiamento,73040,75728,75727,93008,99878,104236,104236,104236,104236,92425,104236,104744,110164,104066,223400,82016,83786,82017,89114,132095,280322,273279,82092,120711,96986,273279,133963
Southern Pashto,80050,86635,86634,154147,258877,283451,283451,283451,283451,202207,283451,423740,109009,188701,83837,82222,88992,82223,107480,109167,430166,246722,135424,92922,85832,246722,59735
Western Persian,64500,67558,67557,139899,241410,279481,279481,279481,279481,173333,279481,432074,101304,196273,78678,65918,73910,65919,88203,101373,440163,244860,94432,107484,87412,244860,57779
Plateau Malagasy,86103,82740,82739,119911,128658,135619,135619,135619,135619,119189,135619,137421,135901,124463,271859,93654,94172,93655,104757,173758,325965,316908,110108,158636,125488,316908,164355
Polish,69275,81483,81482,94737,103147,141182,141182,141182,141182,101102,141182,141254,137085,132050,216024,70891,80029,70892,86127,163197,292098,274970,113594,146715,99390,274970,121041
Portuguese,64855,69773,69772,78171,86127,101774,101774,101765,101765,78313,101774,109158,108852,108466,235580,66406,72168,66407,84640,128190,289511,281590,59813,125447,101495,281590,128052
Dari,63315,66038,66037,134525,235288,268840,268840,268840,268840,166945,268840,418739,97655,188417,80625,64923,72850,64924,86220,97677,422038,237961,87464,105149,84975,237961,52265
Ayacucho Quechua,65686,76342,76341,110706,119112,115829,115829,115829,115829,109926,115829,127131,123437,116930,245549,95148,97898,95149,93642,149972,278975,276777,97496,141619,105279,276777,146464
Romanian,72571,80658,80657,99974,103046,130433,130433,130433,130433,99201,130433,133544,123322,121856,245167,74034,81531,74035,89729,86617,307925,291717,101592,128736,87690,291717,111136
Rundi,78201,79151,79150,113371,124093,122445,122445,122429,122429,112641,122445,128356,127656,122997,248188,101867,103202,101868,99604,160924,290494,289035,87453,148549,115067,289035,155208
Russian,67447,79995,79994,94237,99173,301727,301727,301726,301726,131496,301727,290010,158588,226451,222122,70031,77512,70032,83361,204346,514650,282208,132062,241387,157810,282208,47163
Sango,81147,82570,82569,109714,118100,117409,117409,117409,117409,109951,117409,121661,120462,110639,219737,98752,97236,98753,107411,181962,290129,281357,95574,139566,110502,281357,154203
Sanskrit,81854,83319,83318,246157,278094,417136,417136,417133,417133,264225,417136,678863,69453,218070,40535,85075,106855,85076,108350,69445,682390,254233,86484,39395,65020,254233,37569
Santali,99512,148456,148455,483046,722349,675930,675930,675929,675929,676349,675930,675937,97648,227755,53011,97661,97642,97662,176524,97687,723211,274886,675805,52919,52894,274886,51174
Sicilian,80075,85642,85641,104869,110023,119419,119419,119419,119419,105965,119419,123844,114797,114164,229071,94093,97030,94094,100524,142627,287680,273185,95956,136096,99295,273185,132809
Shan,258437,115810,115809,564421,718299,986091,986091,986085,986085,795074,986091,987434,41902,335280,42254,263999,293592,264000,215725,41365,1020993,368897,641171,31344,27076,368897,90879
Sinhala,79840,100271,100270,377416,476645,675811,675811,675806,675806,466435,675811,678328,91626,217749,47836,80352,96745,80353,108866,91632,683740,260389,436463,46635,46455,260389,51931
